sample,Cmon_PlotID,Bodemlocatie,Diepte,Datum_staalname,Staalnemer,c_LB72X,c_LB72Y,mv_mTAW,Cmon_GRTS_Rank,CmonLU19,CmonLUtext,Bermen,Landgebruik_Cmon,Vegetatie_bij_staalname,Landcover_EUNIS,Landgebruik_MBAG,MBAG_eDNA_staal,MBAG_Nematoden_staal,LOQ_TIC,TIC_percent,LOQ_TOC,TOC,LOQ_N,TN,pH_KCl,BD,C_stock,Cdensity,N_stock,Ndensity,C_N_stockbased,SWCgrav,SWCvol,Textuur_kleifractie,Textuur_leemfractie,Textuur_Zandfractie,Bodemtoestand,Weer_bij_staalname,Weersomstandigheid,Bodemtype,UniBodemtype,Bodemserie,Bodembeschrijving_Belgisch,Textuurklasse,Drainageklasse,Profielontwikkeling,Bodemstreek,WRB_soil_unit,RSG,rsg_pq_cod,pq1,pq2,pq3,sq_drainag,sq_texture,sq_morph,sq_fertility,Bodemassociatie,mycorrhiza_total_rich,patho_rich,n_fixers_rich,bd_0_10,cstock_sum,18S_universal_nematoda_observed,18S_nema_edna_Nematoda_observed,18S_nema_extract_Nematoda_observed,18S_universal_annelida_observed,InseKP_annelida_observed,InseKP_annelida_bold_observed,18S_nema_edna_Nematoda_total_count,18S_nema_extract_Nematoda_total_count,18S_universal_nematoda_total_count,InseKP_annelida_total_count,InseKP_annelida_bold_total_count
pa69450b_0_10,Pa69450b,CMON_Pa69450b,0-10,2022-03-18,ILVO,216905,170295,53.05,2286,4,Akkerland,0,Akker,maïsstoppels,V1 (Arable land and market gardens),Akker,1,1,LT,0.01,NA,1.6,NA,0.128,7.2,1.36,21.73,2.17,1.74,0.17,12.49,26.7,36.3,19.75,68.07,12.18,Normaal,Zonnig / helder,Geen neerslag in de afgelopen 24 uur,Aba0,Aba0,Aba,Droge leembodem met textuur B horizont,A,b,a,Zandleemstreek,Haplic Luvisols (Siltic),Luvisols,LV-ha,Haplic,NA,NA,NA,Siltic,NA,Eutric,Plateau van Haspengouw,-0.9680815896,0.3072464194,NA,-0.5320192539,-0.5623652661,45,NA,NA,5,14,38,NA,NA,59283,537426,834322
p885eb7b_0_10,P885eb7b,CMON_P885eb7b,0-10,2022-12-02,ILVO,157305,183665,8.65,1550,3,grasland,0,Blijvend grasland,gras,R2 (Mesic grasslands),Blijvend grasland,1,1,LT,0.01,NA,5.24,NA,0.501,4.4,0.95,49.61,4.96,4.74,0.47,10.47,47.8,45.4,32.3,60.14,7.56,Normaal,Bewolkt,Hevige neerslag afgelopen week of regenstorm in afgelopen 24 uur,Edpy,Edpy,Edp,Matig gleyige kleibodem zonder profiel,E,d,p,Zandstreek,Eutric Fluvic Gleyic Cambisols (Loamic_ Fluvic),Cambisols,CM-gl.fv.eu,Gleyic,Fluvic,Eutric,Endogleyic,Loamic,Fluvic,Eutric,Oostelijke Vlaamse laagvlakte,-0.429861127,1.40124122,NA,1.156603886,0.6316468493,13,NA,NA,5,12,24,NA,NA,481,200925,269987
p5c24756_10_30,P5c24756,CMON_P5c24756,45960,2022-02-07,ILVO,208615,203245,36.07,3219,4,Akkerland,0,Akker,Braak,V1 (Arable land and market gardens),Akker,1,1,LT,0.01,NA,1.52,NA,0.097,4.8,1.38,41.95,2.1,2.68,0.13,15.65,29.3,40.4,3.58,5.81,90.61,Waterverzadigd,Zonnig / helder,Neerslag maar zonder hevige buien afgelopen 24 uur,Zdg,Zdg,Zdg,Matig natte zandbodem met duidelijke ijzer en/of humus B horizont,Z,d,g,Kempen,Gleyic Podzols (Arenic),Podzols,PZ-gl,Gleyic,NA,NA,Endogleyic,Arenic,NA,Dystric,Depressie van de Netes,-0.04541793937,-0.4971615223,NA,-0.2437177422,-0.4740711452,50,NA,NA,8,7,23,NA,NA,87718,398348,580216
pab167a1_0_10,Pab167a1,CMON_Pab167a1,0-10,2022-11-09,ILVO,115365,168295,57.34,2465,3,grasland,0,Blijvend grasland,gras,R2 (Mesic grasslands),Blijvend grasland,1,1,LT,0.01,NA,3.05,NA,0.304,4.9,1.14,34.83,3.48,3.47,0.35,10.04,33.9,38.6,17.51,71.22,11.27,Normaal,Bewolkt,Geen neerslag in de afgelopen 24 uur,Aba1,Aba1,Aba,Droge leembodem met textuur B horizont,A,b,a,Zandleemstreek,Nudiargic Luvisols (Siltic),Luvisols,LV-ng,Nudiargic,NA,NA,NA,Siltic,NA,Eutric,Schelde-Dender interfluvium,-0.04541793937,0.1463648311,NA,0.3740712114,-0.3184080995,9,NA,NA,8,8,13,NA,NA,364,11797,1033624
p50033ab_0_10,P50033ab,CMON_P50033ab,0-10,2023-02-15,ILVO,222985,208615,53.02,3659,4,Akkerland,0,Akker,geploegd,V1 (Arable land and market gardens),Akker,1,1,LT,0.01,NA,1.59,NA,0.118,5.2,1.22,19.32,1.93,1.43,0.14,13.51,12.7,15.5,7.4,15.19,77.41,NA,NA,NA,t-Sdc3,t-Sdc3,Sdc,Matig natte lemig zandbodem met sterk gevlekte_ verbrokkelde textuur B horizont,S,d,c,Kempen,Gleyic Plaggic Retisols (Loamic_ Ruptic),Retisols,RT-pa.gl,Plaggic,Gleyic,NA,Endogleyic,Loamic,Ruptic,Dystric,Maasterrassen,0.2621366107,-1.237216829,NA,0.04458376949,-0.3112629106,9,NA,NA,1,6,17,NA,NA,156,17356,23478
p91e52c8_0_10,P91e52c8,CMON_P91e52c8,0-10,2022-03-22,ILVO,73115,179445,16.14,433,4,Akkerland,0,Akker,gele mosterd,V1 (Arable land and market gardens),Akker,1,1,LT,0.01,NA,1.53,NA,0.128,6,1.38,21.07,2.11,1.76,0.18,11.97,15.6,21.6,13.61,33.92,52.47,Normaal,Zonnig / helder,Geen neerslag in de afgelopen 24 uur,Pcc,Pcc,Pcc,Matig droge licht zandleembodem met sterk gevlekte_ verbrokkelde textuur B horizont,P,c,c,Zandstreek,Eutric Retisols (Loamic),Retisols,RT-eu,Eutric,NA,NA,NA,Loamic,NA,Eutric,Polder-Leie interfluvium,-0.8143043146,-0.722395746,NA,-0.6143911144,-0.5526682239,25,31,145,5,8,18,2107,173136,6906,1178469,1209902
p2237995_0_10,P2237995,CMON_P2237995,0-10,2022-02-24,ILVO,178845,228885,24.36,803,4,Akkerland,0,Akker,tijdelijk grasland,V1 (Arable land and market gardens),Tijdelijk grasland,1,1,LT,0.01,NA,1.18,NA,0.102,5.8,1.38,16.34,1.63,1.41,0.14,11.57,27.2,37.6,5.35,14.79,79.86,Normaal,Zonnig / helder,Geen neerslag in de afgelopen 24 uur,Zeg,Zeg,Zeg,Natte zandbodem met duidelijke ijzer en/of humus B horizont,Z,e,g,Kempen,Gleyic Podzols (Arenic),Podzols,PZ-gl,Gleyic,NA,NA,Endogleyic,Arenic,NA,Dystric,Kempische cuesta,-0.3529724895,0.0176595604,0.4141482658,-0.6143911144,-0.8611872766,57,12,54,4,12,27,238,3038,41227,218596,680856
p2237995_10_30,P2237995,CMON_P2237995,45960,2022-02-24,ILVO,178845,228885,24.36,803,4,Akkerland,0,Akker,tijdelijk grasland,V1 (Arable land and market gardens),Tijdelijk grasland,1,1,LT,0.01,NA,1,NA,0.086,6.1,1.47,29.47,1.47,2.53,0.13,11.63,24.5,36.1,5.18,11.31,83.51,Normaal,Zonnig / helder,Geen neerslag in de afgelopen 24 uur,Zeg,Zeg,Zeg,Natte zandbodem met duidelijke ijzer en/of humus B horizont,Z,e,g,Kempen,Gleyic Podzols (Arenic),Podzols,PZ-gl,Gleyic,NA,NA,Endogleyic,Arenic,NA,Dystric,Kempische cuesta,-0.3529724895,0.0176595604,0.4141482658,-0.6143911144,-0.8611872766,16,NA,NA,5,2,7,NA,NA,597,636,23611
pbc0a1a5_10_30,Pbc0a1a5,CMON_Pbc0a1a5,45960,2022-02-17,ILVO,206445,160795,86.98,750,4,Akkerland,0,Akker,Wintergraan,V1 (Arable land and market gardens),Akker,1,1,NA,0.06,NA,1.46,NA,0.113,7.2,1.44,40.21,2.01,3.25,0.16,12.37,27.2,39.1,30.81,62.25,6.94,Normaal,Zonnig / helder,Neerslag maar zonder hevige buien afgelopen 24 uur,Abp,Abp,Abp,Droge leembodem zonder profiel,A,b,p,Leemstreek,Eutric Cambisols (Siltic_ Colluvic),Cambisols,CM-eu,Eutric,NA,NA,NA,Siltic,Colluvic,Eutric,Plateau van Haspengouw,-0.583638402,-0.8832773344,NA,-0.6555770447,-0.4745815158,13,NA,NA,1,2,7,NA,NA,2124,26753,213487
p9849433_0_10,P9849433,CMON_P9849433,0-10,2023-03-13,ILVO,50265,176615,19.04,3557,4,Akkerland,0,Akker,geploegd,V1 (Arable land and market gardens),Akker,1,1,NA,0.15,NA,1.38,NA,0.122,7.5,1.5,18.48,1.85,1.83,0.18,10.1,24,35.9,17.86,39.85,42.29,NA,NA,NA,Ldc,Ldc,Ldc,Matig natte zandleembodem met sterk gevlekte_ verbrokkelde textuur B horizont,L,d,c,Zandleemstreek,Eutric Gleyic Retisols (Loamic),Retisols,RT-gl.eu,Gleyic,Eutric,NA,Endogleyic,Loamic,NA,Eutric,Polder-Leie interfluvium,0.3390252482,0.3394227371,NA,-1.108622277,-0.6601012439,20,NA,NA,2,7,12,NA,NA,7564,190696,192099
p241108f_0_10,P241108f,CMON_P241108f,0-10,2023-02-02,ILVO,146625,228065,4.35,2147,4,Akkerland,0,Akker,geploegd,V1 (Arable land and market gardens),Akker,1,1,LT,0.01,NA,1.81,NA,0.142,6.7,1.55,27.85,2.79,2.2,0.22,12.66,13.7,21.2,6.64,9.15,84.21,NA,NA,NA,Zdpb(o),Zdpb(o),Zdp,Matig natte zandbodem zonder profiel,Z,d,p,Doel,Dystric Gleyic Arenosols (Relocatic),Arenosols,AR-gl.dy,Gleyic,Dystric,NA,Endogleyic,Arenic,Relocatic,Dystric,Depressie van de Netes,-0.9680815896,-0.9798062874,-0.1115741903,-1.314551929,0.04574135306,8,NA,NA,0,4,18,NA,NA,419,19549,520351
p241108f_10_30,P241108f,CMON_P241108f,45960,2023-02-02,ILVO,146625,228065,4.35,2147,4,Akkerland,0,Akker,geploegd,V1 (Arable land and market gardens),Akker,1,1,NA,0.02,NA,1.72,NA,0.133,6.9,1.57,53.5,2.68,4.19,0.21,12.77,13.4,21,6.46,9.04,84.5,NA,NA,NA,Zdpb(o),Zdpb(o),Zdp,Matig natte zandbodem zonder profiel,Z,d,p,Doel,Dystric Gleyic Arenosols (Relocatic),Arenosols,AR-gl.dy,Gleyic,Dystric,NA,Endogleyic,Arenic,Relocatic,Dystric,Depressie van de Netes,-0.9680815896,-0.9798062874,-0.1115741903,-1.314551929,0.04574135306,8,NA,NA,2,8,11,NA,NA,726,627215,1389912
p8cfed8c_0_10,P8cfed8c,CMON_P8cfed8c,0-10,2023-01-09,ILVO,98835,181615,8.4,2545,4,Akkerland,1,Akker,geploegd,V1 (Arable land and market gardens),Akker,1,1,LT,0.01,NA,1.84,NA,0.185,5.8,1.52,28.06,2.81,2.82,0.28,9.95,24.6,37.3,14.38,17.64,67.98,NA,NA,NA,Lep,Lep,Lep,Natte zandleembodem zonder profiel,L,e,p,Zandstreek,Eutric Fluvic Gleyic Cambisols (Loamic_ Fluvic),Cambisols,CM-gl.fv.eu,Gleyic,Fluvic,Eutric,Endogleyic,Loamic,Fluvic,Eutric,Zuidelijke Vlaamse laagvlakte,-0.1223065769,-1.9129195,NA,-1.190994138,0.05543839524,21,NA,NA,2,14,31,NA,NA,17891,617909,704422
p86c8c43_0_10,P86c8c43,CMON_P86c8c43,0-10,2023-04-03,ILVO,111145,184365,38.62,4065,4,Akkerland,0,Tijdelijk grasland,gras,V1 (Arable land and market gardens),Tijdelijk grasland,1,1,LT,0.01,NA,1.63,NA,0.152,5.6,1.42,23.16,2.32,2.16,0.22,10.72,28.5,40.4,10.84,52.19,36.97,NA,NA,NA,Lcc,Lcc,Lcc,Matig droge zandleembodem met sterk gevlekte_ verbrokkelde textuur B horizont,L,c,c,Zandleemstreek,Eutric Retisols (Loamic),Retisols,RT-eu,Eutric,NA,NA,NA,Loamic,NA,Eutric,Schelde-Dender interfluvium,-0.1991952144,0.2428937841,NA,-0.7791348354,-0.6424934568,2,NA,NA,1,2,9,NA,NA,11,2512,26111
pba5715d_0_10,Pba5715d,CMON_Pba5715d,0-10,2023-03-23,INBO,154125,161545,87.08,45262,2,Natuur,0,Natuur,gras_ kruidachtigen,R2 (Mesic grasslands),Natuurgrasland,1,1,NA,0.3,NA,5.91,NA,0.367,7.3,0.88,49.1,4.91,3.21,0.32,15.28,59.4,52.2,12.51,36.42,51.07,Waterverzadigd,Bewolkt,Hevige neerslag afgelopen week of regenstorm in afgelopen 24 uur,OT,OT,OT,Sterk vergraven gronden,NA,NA,NA,Kunstmatige gronden,Technosols/Not Surveyed,Technosols/Not Surveyed,TC,NA,NA,NA,NA,NA,NA,NA,Brabants plateau,-0.7374156771,0.9507727728,NA,1.444905398,6.205149438,13,NA,NA,0,6,15,NA,NA,157,9312,244691
p830c7f8_0_10,P830c7f8,CMON_P830c7f8,0-10,2022-03-09,ILVO,27595,186015,15.71,293,4,Akkerland,0,Akker,wintergraan,V1 (Arable land and market gardens),Akker,1,1,LT,0.01,NA,1.27,NA,0.141,6,1.43,18.1,1.81,2.01,0.2,9,22.5,32.2,18.74,53.84,27.42,Normaal,Zonnig / helder,Geen neerslag in de afgelopen 24 uur,Lca,Lca,Lca,Matig droge zandleembodem met textuur B horizont,L,c,a,Zandleemstreek,Haplic Luvisols (Loamic),Luvisols,LV-ha,Haplic,NA,NA,NA,Loamic,NA,Eutric,Polder-Leie interfluvium,-0.6605270395,-1.49462737,NA,-0.8203207656,-0.7499264768,16,19,103,4,4,9,550,63326,480,1973143,1995147
p27db00f_0_10,P27db00f,CMON_P27db00f,0-10,2023-03-20,ILVO,80705,226385,4.03,4004,4,Akkerland,0,Akker,geploegd,V1 (Arable land and market gardens),Akker,1,1,NA,1.83,NA,3.56,NA,0.215,7.8,1.44,24.92,1.25,3.1,0.31,8.04,25.1,36.2,36.67,43.26,20.07,NA,NA,NA,z.Bc0,sUdp,Udp,Schorgronden (Nieuwlandpolders Zwin),U,d,p,Zwin,Calcaric Fluvic Gleyic Cambisols (Clayic_ Fluvic_ Ruptic),Cambisols,CM-gl.fv.ca,Gleyic,Fluvic,Calcaric,Endogleyic,Clayic,Fluvic_ Ruptic,Calcaric,Kustvlakte_ Nieuwland vh Zwin,-0.9680815896,-0.52933784,-1.031588489,-0.8615066959,-1.028588847,20,NA,NA,4,7,14,NA,NA,22600,636033,710289
p27db00f_10_30,P27db00f,CMON_P27db00f,45960,2023-03-20,ILVO,80705,226385,4.03,4004,4,Akkerland,0,Akker,geploegd,V1 (Arable land and market gardens),Akker,1,1,NA,1.48,NA,1.94,NA,0.062,8.2,1.56,14.33,0.72,1.93,0.1,7.42,8.8,13.7,10.89,45.33,43.78,NA,NA,NA,z.Bc0,sUdp,Udp,Schorgronden (Nieuwlandpolders Zwin),U,d,p,Zwin,Calcaric Fluvic Gleyic Cambisols (Clayic_ Fluvic_ Ruptic),Cambisols,CM-gl.fv.ca,Gleyic,Fluvic,Calcaric,Endogleyic,Clayic,Fluvic_ Ruptic,Calcaric,Kustvlakte_ Nieuwland vh Zwin,-0.9680815896,-0.52933784,-1.031588489,-0.8615066959,-1.028588847,17,NA,NA,1,2,2,NA,NA,1127,2,2
p8679843_10_30,P8679843,CMON_P8679843,45960,2023-01-17,INBO,181385,184505,24.88,12686,2,Natuur,1,Natuur,gras_ Amerikaanse eik,V3 (Artificial grasslands and herb dominated habitats),Natuurgrasland,1,1,LT,0.01,NA,1.23,NA,0.087,4.1,1.27,31.17,1.56,2.21,0.11,14.14,17,21.6,10.61,7.79,81.61,Normaal,Zonnig / helder,Hevige neerslag afgelopen week of regenstorm in afgelopen 24 uur,wScfc,wScfc,Scf,Matig droge lemig zandbodem met weinig duidelijke ijzer en/of humus B horizont,S,c,f,Zandstreek,Rustic Podzols (Loamic_ Abruptic),Podzols,PZ-rs,Rustic,NA,NA,NA,Loamic,Abruptic,Dystric,Hagelands heuvelland,3.337682112,1.015125408,NA,0.4152571417,-0.3342295894,27,NA,NA,4,12,24,NA,NA,14425,13849,37256
p90a60f8_0_10,P90a60f8,CMON_P90a60f8,0-10,2022-02-22,ILVO,30635,179995,8.03,37,4,Akkerland,0,Akker,Groenbemester,V1 (Arable land and market gardens),Akker,1,1,NA,0.02,NA,1.48,NA,0.167,6.6,1.48,21.57,2.16,2.47,0.25,8.73,25.5,37.7,24.01,54.76,21.23,Normaal,Buien (wisselvallig),Zeer natte periode of smelten van sneeuw,Lca,Lca,Lca,Matig droge zandleembodem met textuur B horizont,L,c,a,Zandleemstreek,Haplic Luvisols (Loamic),Luvisols,LV-ha,Haplic,NA,NA,NA,Loamic,NA,Eutric,Polder-Leie interfluvium,-0.583638402,-0.9476299697,NA,-1.026250417,-0.4858096699,8,59,101,3,13,26,52189,100353,1112,1080976,1188550
p2f49783_0_10,P2f49783,CMON_P2f49783,0-10,2023-01-25,INBO,72185,223095,3.61,7652,2,Natuur,0,Natuur,gras,V3 (Artificial grasslands and herb dominated habitats),Natuurgrasland,1,1,LT,0.01,NA,4.47,NA,0.459,5.3,0.97,43.38,4.34,4.45,0.45,9.73,47.9,46.5,24.92,52.43,22.64,Normaal,Bewolkt,Geen neerslag in de afgelopen 24 uur,m.Fl1,uPdp,Pdp,Overdekte poelgronden en overdekte oude kleiplaatgronden - lichte klei tot zand (Middellandpolders),P,d,p,Middellandpolders,Calcaric Fluvic Gleyic Cambisols (Loamic_ Fluvic_ Ruptic),Cambisols,CM-gl.fv.ca,Gleyic,Fluvic,Calcaric,Endogleyic,Loamic,Fluvic_ Ruptic,Calcaric,Kustvlakte_ Middelland,0.03147069815,0.0176595604,-1.031588489,1.074232026,0.819973616,16,NA,NA,2,12,43,NA,NA,1490,847223,1019898
