sample,Cmon_PlotID,Bodemlocatie,Diepte,Datum_staalname,Staalnemer,c_LB72X,c_LB72Y,mv_mTAW,Cmon_GRTS_Rank,CmonLU19,CmonLUtext,Bermen,Landgebruik_Cmon,Vegetatie_bij_staalname,Landcover_EUNIS,Landgebruik_MBAG,MBAG_eDNA_staal,MBAG_Nematoden_staal,LOQ_TIC,TIC_percent,LOQ_TOC,TOC,LOQ_N,TN,pH_KCl,BD,C_stock,Cdensity,N_stock,Ndensity,C_N_stockbased,SWCgrav,SWCvol,Textuur_kleifractie,Textuur_leemfractie,Textuur_Zandfractie,Bodemtoestand,Weer_bij_staalname,Weersomstandigheid,Bodemtype,UniBodemtype,Bodemserie,Bodembeschrijving_Belgisch,Textuurklasse,Drainageklasse,Profielontwikkeling,Bodemstreek,WRB_soil_unit,RSG,rsg_pq_cod,pq1,pq2,pq3,sq_drainag,sq_texture,sq_morph,sq_fertility,Bodemassociatie,mycorrhiza_total_rich,patho_rich,n_fixers_rich,bd_0_10,cstock_sum,18S_universal_nematoda_observed,18S_nema_edna_Nematoda_observed,18S_nema_extract_Nematoda_observed,18S_universal_annelida_observed,InseKP_annelida_observed,InseKP_annelida_bold_observed,18S_nema_edna_Nematoda_total_count,18S_nema_extract_Nematoda_total_count,18S_universal_nematoda_total_count,InseKP_annelida_total_count,InseKP_annelida_bold_total_count
p5124bed_0_10,P5124bed,CMON_P5124bed,0-10,2023-02-16,INBO,237565,208115,37.09,12363,2,Natuur,0,Natuur,gras,R2 (Mesic grasslands),Natuurgrasland,1,1,LT,0.01,NA,3.69,NA,0.288,4.4,1.07,39.4,3.94,3.074,0.31,12.81,29.5,31.6,9.82,18.44,71.74,Normaal,Buien (wisselvallig),Geen neerslag in afgelopen week,t-Sep3,t-Sep3,Sep,Natte lemig zandbodem zonder profiel,S,e,p,Kempen,Fluvic Gleyic Umbrisols (Loamic_ Fluvic_ Ruptic),Umbrisols,UM-gl.fv,Gleyic,Fluvic,NA,Endogleyic,Loamic,Fluvic_ Ruptic,Dystric,Maasterrassen,1.876797999,1.079478044,NA,0.6623727232,0.4752182478,41,224,164,5,19,35,217487,110911,18431,25627,75871
p8e05037_0_10,P8e05037,CMON_P8e05037,0-10,2023-02-17,INBO,177585,181165,15.09,25998,2,Natuur,0,Natuur,grassen_ kruidachtigen,R2 (Mesic grasslands),Natuurgrasland,1,1,LT,0.01,NA,2.2,NA,0.179,4.6,1.28,28.08,2.81,2.29,0.23,12.29,30.2,38.7,11.2,53.85,34.95,Normaal,Bewolkt,Hevige neerslag afgelopen week of regenstorm in afgelopen 24 uur,Ldc,Ldc,Ldc,Matig natte zandleembodem met sterk gevlekte_ verbrokkelde textuur B horizont,L,d,c,Zandstreek,Eutric Gleyic Retisols (Loamic),Retisols,RT-gl.eu,Gleyic,Eutric,NA,Endogleyic,Loamic,NA,Eutric,Oostelijke Vlaamse laagvlakte,1.646132086,0.5003043254,NA,-0.202531812,-0.4595255819,22,NA,NA,1,3,11,NA,NA,748,3793,12284
p123ec46_0_10,P123ec46,CMON_P123ec46,0-10,2023-02-14,ILVO,174455,235955,14.23,1315,4,Akkerland,0,Akker,geploegd,V1 (Arable land and market gardens),Akker,1,1,LT,0.01,NA,2.27,NA,0.169,4.8,1.43,32.55,3.26,2.42,0.24,13.45,26.6,38.1,8.02,21.6,70.38,Normaal,Zonnig / helder,Geen neerslag in afgelopen week,Scm,Scm,Scm,Matig droge lemig zandbodem met dikke antropogene humus A horizont,S,c,m,Kempen,Plaggic Anthrosols (Loamic),Anthrosols,AT-pa,Plaggic,NA,NA,NA,Loamic,NA,Dystric,Kempische cuesta,-0.6605270395,-0.07886939261,0.8084401079,-0.8203207656,0.3524741085,20,NA,NA,3,10,15,NA,NA,3198,3238893,3321284
p123ec46_10_30,P123ec46,CMON_P123ec46,45960,2023-02-14,ILVO,174455,235955,14.23,1315,4,Akkerland,0,Akker,geploegd,V1 (Arable land and market gardens),Akker,1,1,LT,0.01,NA,2.22,NA,0.166,4.8,1.37,60.82,3.04,4.55,0.23,13.37,23.9,32.8,8.89,22.82,68.29,Normaal,Zonnig / helder,Geen neerslag in afgelopen week,Scm,Scm,Scm,Matig droge lemig zandbodem met dikke antropogene humus A horizont,S,c,m,Kempen,Plaggic Anthrosols (Loamic),Anthrosols,AT-pa,Plaggic,NA,NA,NA,Loamic,NA,Dystric,Kempische cuesta,-0.6605270395,-0.07886939261,0.8084401079,-0.8203207656,0.3524741085,31,NA,NA,2,6,15,NA,NA,1884,98171,175563
p12bd92e_0_10,P12bd92e,CMON_P12bd92e,0-10,2023-01-30,ILVO,157095,235735,16.71,2659,4,Akkerland,1,Akker,geploegd,V1 (Arable land and market gardens),Akker,1,1,LT,0.01,NA,1.98,NA,0.148,4.6,1.4,27.8,2.78,2.08,0.21,13.37,25,35,5.31,11.34,83.35,Normaal,Gedeeltelijk bewolkt,Geen neerslag in afgelopen week,Zdm,Zdm,Zdm,Matig natte zandbodem met dikke antropogene humus A horizont,Z,d,m,Kempen,Plaggic Anthrosols (Arenic),Anthrosols,AT-pa,Plaggic,NA,NA,Endogleyic,Arenic,NA,Dystric,Kempische cuesta,-0.6605270395,0.5324806431,-0.2430048044,-0.6967629749,-0.08440316048,30,NA,NA,4,7,19,NA,NA,2233,2060173,2542100
p12bd92e_10_30,P12bd92e,CMON_P12bd92e,45960,2023-01-30,ILVO,157095,235735,16.71,2659,4,Akkerland,1,Akker,geploegd,V1 (Arable land and market gardens),Akker,1,1,LT,0.01,NA,1.69,NA,0.132,4.6,1.43,48.45,2.42,3.78,0.19,12.82,25.1,35.9,5.21,11.1,83.69,Normaal,Gedeeltelijk bewolkt,Geen neerslag in afgelopen week,Zdm,Zdm,Zdm,Matig natte zandbodem met dikke antropogene humus A horizont,Z,d,m,Kempen,Plaggic Anthrosols (Arenic),Anthrosols,AT-pa,Plaggic,NA,NA,Endogleyic,Arenic,NA,Dystric,Kempische cuesta,-0.6605270395,0.5324806431,-0.2430048044,-0.6967629749,-0.08440316048,22,NA,NA,3,5,9,NA,NA,1201,846342,2997950
p15e7ab8_0_10,P15e7ab8,CMON_P15e7ab8,0-10,2022-03-09,ILVO,175435,234335,17.26,2339,4,Akkerland,0,Akker,grasland (4e jaar),V1 (Arable land and market gardens),Tijdelijk grasland,1,1,LT,0.01,NA,2.38,NA,0.181,5.5,1.35,32.04,3.2,2.44,0.24,13.15,30.1,40.6,5.18,18.7,76.12,Normaal,Zonnig / helder,Geen neerslag in de afgelopen 24 uur,Sdg,Sdg,Sdg,Matig natte lemig zandbodem met duidelijke ijzer en/of humus B horizont,S,d,g,Kempen,Gleyic Podzols (Loamic),Podzols,PZ-gl,Gleyic,NA,NA,Endogleyic,Loamic,NA,Dystric,Kempische cuesta,-0.8911929521,0.1141885134,1.85988502,-0.4908333237,0.1177036135,40,123,119,1,10,29,123935,80079,6496,143841,1041333
p15e7ab8_10_30,P15e7ab8,CMON_P15e7ab8,45960,2022-03-09,ILVO,175435,234335,17.26,2339,4,Akkerland,0,Akker,grasland (4e jaar),V1 (Arable land and market gardens),Tijdelijk grasland,1,1,LT,0.01,NA,1.86,NA,0.134,5.3,1.4,52.13,2.61,3.76,0.19,13.88,26.2,36.7,5.47,19.45,75.08,Normaal,Zonnig / helder,Geen neerslag in de afgelopen 24 uur,Sdg,Sdg,Sdg,Matig natte lemig zandbodem met duidelijke ijzer en/of humus B horizont,S,d,g,Kempen,Gleyic Podzols (Loamic),Podzols,PZ-gl,Gleyic,NA,NA,Endogleyic,Loamic,NA,Dystric,Kempische cuesta,-0.8911929521,0.1141885134,1.85988502,-0.4908333237,0.1177036135,5,NA,NA,0,2,11,NA,NA,281,89320,657606
p666bf52_0_10,P666bf52,CMON_P666bf52,0-10,2023-05-31,INBO,214415,198695,54.98,42387,2,Natuur,0,Natuur,grassen,S4 (Temperate shrub heathland),Heide,1,1,LT,0.01,NA,2.25,NA,0.082,3.2,1.22,27.4,2.74,0.99,0.1,27.44,5.4,6.6,3.28,5.2,91.52,Normaal,Zonnig / helder,Geen neerslag in afgelopen week,ZAg,ZAg,ZAg,Zeer droge tot matig natte zandbodem met duidelijke ijzer en/of humus B horizont,Z,a-d,g,Kempen,Albic Podzols (Arenic),Podzols,PZ-ab,Albic,NA,NA,NA,Arenic,NA,Dystric,Maasterrassen,1.107911623,1.690828079,NA,0.04458376949,-0.2405765767,13,NA,NA,2,10,13,NA,NA,620,695067,695490
pc725ea6_0_10,Pc725ea6,CMON_Pc725ea6,0-10,2023-03-23,INBO,144055,155875,91.66,33374,2,Natuur,0,Natuur,gras_ kruidachtigen,R3 (Seasonally wet and wet grasslands),Natuurgrasland,1,1,LT,0.01,NA,2.05,NA,0.183,4.3,1.06,21.77,2.18,1.94,0.19,11.2,40.9,43.3,18.05,68.76,13.18,Waterverzadigd,Buien (wisselvallig),Hevige neerslag afgelopen week of regenstorm in afgelopen 24 uur,Aba0(b),Aba0(b),Aba,Droge leembodem met textuur B horizont,A,b,a,Zandleemstreek,Eutric Neocambic Retisols (Siltic),Retisols,RT-nc.eu,Neocambic,Eutric,NA,NA,Siltic,NA,Eutric,Brabants plateau,0.8772457109,-0.07886939261,NA,0.7035586534,-0.8943613683,8,NA,NA,3,13,36,NA,NA,425,327134,440951
